title,directions,Ingridents,link
Tuna Salad,"[""Brush the tuna steaks with olive oil, and sprinkle with salt and pepper. Place the tuna steaks in a very hot saute pan and cook for only 1 minute on each side. Set aside on a platter."", ""Meanwhile, in a small bowl, combine the olive oil, salt, pepper, lime zest, wasabi, lime juice, soy sauce and hot sauce. Add the avocados to the vinaigrette."", ""Cut the tuna in chunks and place it in a large bowl. Add the scallions and red onion and mix well. Pour the vinaigrette mixture over the tuna and carefully mix.""]","[""wasabi powder"", ""soy sauce"", ""tuna"", ""scallion"", ""avocado"", ""freshly squeezed lime juice"", ""fresh coarse ground black pepper"", ""kosher salt"", ""red onion"", ""olive oil"", ""hot sauce""]",www.food.com/recipe/tuna-salad-157052
Peanut Butter Balls,"[""Combine sugar and peanut butter; add margarine."", ""Make into small balls."", ""Place on wax paper and chill for 1 hour."", ""Melt chocolate and wax together."", ""Dip balls with a toothpick into chocolate mixture."", ""Place back on wax paper."", ""Remove toothpick and with a spoon cover hole with chocolate.""]","[""paraffin"", ""peanut butter"", ""margarine"", ""confectioners sugar"", ""chocolate chips""]",www.cookbooks.com/Recipe-Details.aspx?id=1024771
Taco Soup,"[""Brown ground beef and chopped onions with Taco Seasoning in a pot."", ""Drain off fat from browned ground beef."", ""Add all other ingredients."", ""If you want the soup more like a chili consistency then drain off the kidney beans, diced tomatoes and whole kernel corn before adding them to the pot."", ""Bring to a boil."", ""Reduce heat and simmer for 20-30 minutes.""]","[""green chilies"", ""kidney beans"", ""tomatoes"", ""chili beans"", ""taco"", ""lean ground beef"", ""water"", ""onions"", ""beans"", ""whole kernel corn""]",www.food.com/recipe/taco-soup-432152
Okra-Stuffed Chikuwa - For Bentos,"[""Boil the okra."", ""The preparation can be found in."", ""Cool the okra, then stuff into the chikuwa hole."", ""Cut the chikuwa into four pieces, then pack in a bento."", ""Beef-Wrapped Green Beans"", ""Jabara Cucumber Namul""]","[""chikuwa"", ""salt""]",cookpad.com/us/recipes/150828-okra-stuffed-chikuwa-for-bentos
Taco Salad,"[""Fry ground chuck; drain off grease, then add taco seasoning mix and prepare according to instructions on taco mix. Set aside and let cool. Cut up lettuce, tomatoes and green onions and place in large bowl. Rinse and drain pinto beans, then place in large bowl. Then add all other ingredients and toss. Do not add ground chuck, taco chips, Green Goddess dressing, Cheddar cheese and taco sauce until right before serving.""]","[""head lettuce"", ""tomatoes"", ""taco chips"", ""dressing"", ""green onions"", ""cheddar cheese"", ""ground chuck"", ""taco sauce"", ""taco seasoning mix"", ""pinto beans""]",www.cookbooks.com/Recipe-Details.aspx?id=97224
Pineapple Chicken Burritos ,"[""1.Place the chicken (may be fresh or frozen), pineapple, beans, and salsa in a gallon size ziplog freezer bag. Zip close and place in freezer. When ready to use thaw in fridge for 24 hours."", ""2.Cook on low for 6 to 8 hours. Remove the chicken and shred. Mix the chicken back into the crock pot with the rest of the ingredients."", ""3.Mix in the cooked rice."", ""4.Fill 5-6 of the burrito tortillas. Place in in a 9x13 pan. Pour 1 can of the green enchilada sauce over the burritos."", ""5.Top with 1 cup of the shredded cheese and place under the broiler on the middle rack until the cheese is nice and melted. About 5 minutes.""]","[""black beans"", ""chicken breasts"", ""flour tortillas"", ""salsa"", ""green enchilada sauce"", ""rice"", ""cheddar/"", ""pineapple""]",www.epicurious.com/recipes/member/views/pineapple-chicken-burritos-52622561
Sour Cream Pound Cake,"[""Cream sugar and margarine at medium speed on electric mixer until combined."", ""Gradually add egg substitute, beating well. Combine flour and salt with mixture running at low speed."", ""Add to creamed mixture, alternately with sour cream mixture, beginning and ending with flour mixture."", ""Stir in vanilla."", ""Spoon batter into a 10-inch tube pan coated with cooking spray."", ""Bake at 325\u00b0 for 1 hour, or until a wooden pick inserted in center comes clean. Cool 10 minutes; remove from pan.""]","[""cake flour"", ""frozen egg substitute"", ""sugar"", ""baking powder"", ""vanilla"", ""margarine"", ""low-fat sour cream"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=738636
Glazed Turkey Chops,"[""For the chops, in deep glass dish large enough to hold all the chops, combine all ingredients but the chops and oil."", ""Add 6 cups boiling water, mix well, and cool."", ""Add chops to cooled brine, cover, and refrigerate for 48 hours."", ""For the glaze, combine all ingredients but butter in saucepan, and bring to boil over medium-high heat."", ""Cook until mixture reduces to almost a syrupy consistency, for 20 to 25 minutes."", ""Set aside."", ""Prepare grill, indoors or out."", ""Remove chops from brine; dry with paper towels."", ""Bring brine to boil in saucepan; set aside."", ""Brush chops generously with oil."", ""Sear on both sides on grill, and then cook away from hottest part of grill, turning to cook both sides."", ""Brush chops often with brine to keep moist."", ""Cook for 15 to 20 minutes, or until all the pink is gone."", ""Just before the chops are cooked, warm the glaze slightly; whisk in the butter."", ""Brush over the chops; serve with cranberry relish or compote.""]","[""coarse salt"", ""peppercorns"", ""ginger"", ""mustard seeds"", ""shallot"", ""molasses"", ""onion"", ""turkey chops"", ""bay leaves"", ""balsamic vinegar"", ""maple syrup"", ""oranges"", ""garlic"", ""chicken"", ""olive oil"", ""unsalted butter""]",cooking.nytimes.com/recipes/349
Cheddar-Parmesan Chicken Bake,"[""Heat oven to 350F."", ""Mix chicken, soup, water chestnuts, spaghetti, 1/2 cup cheddar, 1/2 cup Parmesan and milk."", ""Spoon into 1-1/2-qt."", ""casserole."", ""Bake 45 min."", ""Top with remaining cheeses."", ""Bake 5 min."", ""or until cheese is melted.""]","[""condensed cream"", ""water chestnuts"", ""cheddar cheese"", ""parmesan cheese"", ""milk""]",www.kraftrecipes.com/recipes/cheddar-parmesan-chicken-bake-156444.aspx
Deep Dish Chicken-Vegetable Pie,"[""Place vegetables in a boiler and add chicken broth."", ""Cover and simmer for about 20 minutes or until vegetables are tender."", ""Stir in half and half and poultry seasoning."", ""In a small bowl mix margarine and flour into a paste."", ""Drop lump of paste into sauce. Stir over low heat until flour paste melts and sauce thickens. Season sauce to taste with salt and pepper."", ""Cut chicken into large pieces."", ""Stir chicken into sauce."", ""Pour mixture into 2 or 3-quart casserole."", ""Place crust over filling all the way to the edge of casserole dish."", ""Prick top to allow steam to escape."", ""Bake in 400\u00b0 oven for 20 to 25 minutes or until golden brown."", ""Serves 6 to 8.""]","[""potatoes"", ""favorite recipe"", ""celery"", ""flour"", ""poultry seasoning"", ""chicken broth"", ""carrots"", ""margarine"", ""chicken""]",www.cookbooks.com/Recipe-Details.aspx?id=327082
Cheese Apple Crisp,"[""Arrange apples in a greased baking dish."", ""Add water and lemon juice."", ""Mix water and lemon juice."", ""Mix sugar, cinnamon, flour and salt."", ""Work in butter to form a crumbly mixture."", ""Add grated cheese to crumbly mixture."", ""Spread the mixture over the apples and bake in a moderate oven (350\u00b0) until apples are tender and crust is crisp.""]","[""sugar"", ""lemon juice"", ""cinnamon"", ""water"", ""flour"", ""apples"", ""grated cheese"", ""butter"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=178415
Chicken Cacciatore,"[""In large frypan, heat 2 tablespoons oil."", ""Add the chicken pieces, sprinkling garlic powder over the chicken."", ""Saute 10 to 15 minutes or until chicken is lightly browned.""]","[""spaghetti"", ""fresh mushrooms"", ""chicken breast"", ""onions"", ""spaghetti sauce"", ""garlic"", ""olive oil""]",www.cookbooks.com/Recipe-Details.aspx?id=881524
Herbed Onion Bread,"[""In bread machine pan, place all ingredients in order suggest by manufacturer. Select basic bread setting. Choose crust color and loaf size if available. Bake according to bread machine directions (check dough after 5 minutes of mixing; add 1 to 2 tablespoons of water or flour if needed).""]","[""bread flour"", ""nonfat dry milk"", ""poppy seeds"", ""sugar"", ""dill weed"", ""active dry yeast"", ""onion"", ""water"", ""butter"", ""salt""]",www.tasteofhome.com/recipes/herbed-onion-bread/
Cucumber Gin Spritzers,"[""Mix gin, Roses Lime juice, lime juice and sliced cucumbers together."", ""Divide among 6 ice filled glasses (I'll use rocks glasses)."", ""Top with ginger ale."", ""Add lime slices for garnish.""]","[""lime juice"", ""ginger ale"", ""lime"", ""persian cucumber"", ""gin""]",www.food.com/recipe/cucumber-gin-spritzers-498188
Salted Cod  À La Brás (Bacalhau À La Brás),"[""Rinse fish with cold water; place, skin side up, in a shallow baking dish. Cover with water to 1/4 inch above fish. Cover and chill 24 hours, changing water 4 times."", ""Drain fish. Place fish in a large saucepan; cover with water. Bring to a boil, reduce heat to medium-low, and simmer 12 to 15 minutes or until fish begins to flake apart. Drain. Flake fish into bite-sized pieces with a fork."", ""While fish cooks, place potato sticks in a large bowl. Cover with cold water to 1 inch above potatoes; let stand 30 minutes to draw out starch. Drain and pat dry with paper towels."", ""Heat a large nonstick skillet over medium-high heat. Add 2 tablespoons oil to pan; swirl to coat. Add half of potatoes; cook 5 minutes or until golden brown. Remove potatoes from pan; drain on paper towels. Add 1 tablespoon oil to pan; swirl to coat. Repeat procedure with remaining potatoes. Reduce heat to medium."", ""Add 1 1/2 teaspoons oil to pan; swirl to coat. Add onion, saffron, and garlic; saute 6 to 8 minutes or until onion is golden brown. Add remaining 1 1/2 teaspoons oil and fish; cook 3 minutes, stirring occasionally. Add potatoes; cook 2 minutes."", ""Combine eggs, salt, and pepper in a large bowl; stir well with a whisk. Pour eggs over potato mixture, and cook 3 minutes or until eggs are soft-scrambled, stirring occasionally. Sprinkle with olives and parsley."", ""Salted Cod Before refrigeration, salting cod helped preserve the fish. Lower-quality salted cod comes from thinner fillets and tends be so dried out that it lacks flavor. Look for salted cod that's about 1/2-inch thick, preferably from the loin section, and at least a little pliable. To remove the salt and rehydrate the fish, soak it in cold water for a day or two, changing the water three to four times a day (change the water more often if you soak the fish for less time).""]","[""cod loin"", ""eggs"", ""onion"", ""saffron threads"", ""oil-cured"", ""ground black pepper"", ""parsley"", ""garlic"", ""baking potatoes"", ""olive oil"", ""salt""]",www.myrecipes.com/recipe/salted-cod-al-a-bras
Zippy Pickled Eggs,"[""Clean 5-6 large sealer jars with lids."", ""Put everything (except the eggs) in a large pot. Bring to a boil and simmer for about 20 minutes."", ""To hard-boil the eggs:."", ""I recommend bringing the eggs to room temperature first. Put them in a single layer in a large pot, and cover with water."", ""Bring the water to a rolling boil, then turn off the heat and cover with a lid."", ""Take pot off the heat after 1 minute, and let sit for 17 minutes."", ""Plunge eggs into a cold water bath to halt the cooking process."", ""Once cooled, peel the eggs (give them a smack with a spoon to make peeling easier)."", ""Fill all jars with boiling water."", ""Boil jar lids in a pot for at least 5 minutes."", ""Dump out the boiling water and layer the jars alternately with the pepper sauce and eggs."", ""Keep the lids boiling in the water. Take one out and immediately put it on a jar. This should create a seal. Make sure the lid \""pops\"" down onto the jar."", ""Store the jars in a fridge. The eggs should be well flavoured in about 3 weeks. Full saturation will take over a month.""]","[""well"", ""white sugar"", ""mustard seeds"", ""tabasco sauce"", ""eggs"", ""onion"", ""water"", ""white vinegar"", ""fresh scotchbonnet bell peppers"", ""handful dried"", ""dill"", ""peppercorn"", ""jalapeno peppers"", ""garlic"", ""salt""]",www.food.com/recipe/zippy-pickled-eggs-362228
Spectacular Spaghetti Squash Saute,"[""Preheat oven to 350 degrees."", ""Bake whole squash 1 hour or until tender when pierced with fork."", ""Remove from oven and allow to cool 5-10 minutes."", ""Halve lengthwise and remove seeds."", ""With fork, pull out spaghetti-like strands and place in large serving bowl."", ""Set aside."", ""In large skillet, heat olive oil and butter over medium heat."", ""Add mushrooms, tomatoes, zucchini, green onions, garlic, bell pepper, and snow peas."", ""Cook until soft (4-5 minutes)."", ""Pour over squash and toss to combine."", ""Sprinkle with Parmesan and serve immediately.""]","[""tomatoes"", ""green onions"", ""parmesan cheese"", ""mushrooms"", ""red bell pepper"", ""olive oil"", ""snow"", ""garlic"", ""butter"", ""zucchini""]",www.food.com/recipe/spectacular-spaghetti-squash-saute-43346
Sugar Cookies,"[""Cream the shortening, sugar and vanilla."", ""Add egg and milk. Beat until light and fluffy."", ""Sift flour, baking powder and salt together."", ""Fold in creamed mixture."", ""Divide into 1/2 and chill for at least 1 hour."", ""Roll out and use cookie cutters or just use spoonfuls."", ""Bake at 350\u00b0 for 8 to 10 minutes."", ""Enjoy plain or with Buttercream Icing."", ""Yields 3 dozen.""]","[""egg"", ""sugar"", ""vanilla"", ""baking powder"", ""shortening"", ""flour"", ""milk"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=956475
Ham Biscuits,"[""Preheat oven to 350\u00b0."", ""Melt butter and mix in next 4 ingredients."", ""Place one ham slice and one cheese slice in each roll."", ""Pour butter mixture over rolls."", ""Cover with foil and bake at 350\u00b0 for 15 minutes""]","[""rolls"", ""ham sliced"", ""poppy seed"", ""swiss cheese"", ""onion flakes"", ""mustard"", ""butter"", ""worcestershire sauce""]",www.cookbooks.com/Recipe-Details.aspx?id=349931
Laurie Davis' Chicken Tetrazzini,"[""Cook chicken until tender."", ""Cool, bone and cut in small pieces. Cook spaghetti until tender and rinse in cold water."", ""Cook green pepper 5 minutes in a little chicken broth."", ""Put a layer of chicken in bottom of greased dish, then a bit of pepper, pimento, mushrooms and 1 can of soup."", ""Then add a layer of spaghetti; sprinkle with onion salt and layer of grated cheese."", ""Make second layer, putting chicken, pepper, pimentos, mushrooms and soup."", ""Put the second layer of spaghetti; sprinkle with onion salt and a thick layer of cheese (grated)."", ""Top with bread or cracker crumbs and a few pieces of butter."", ""Bake 45 minutes in 350\u00b0 oven."", ""This may be frozen. This may not be so simple, but it sure is good, especially for a family gathering or church supper.""]","[""spaghetti"", ""bread"", ""mushroom pieces"", ""mushroom soup"", ""fryer"", ""pimentos"", ""grated cheese"", ""green pepper""]",www.cookbooks.com/Recipe-Details.aspx?id=443576
Green Bean Casserole,"[""Heat oven to 375 degrees."", ""Use 1 tablespoon butter to grease a 2- to 2 1/2-quart baking dish or gratin."", ""Bring a large pot of water to a boil, salt generously and add green beans."", ""Boil for 5 minutes and transfer to a bowl of cold water."", ""Drain on a kitchen towel."", ""Heat a large, heavy skillet over medium heat and add bacon."", ""Cook until crispy, about 10 to 12 minutes."", ""Remove to paper towels and let cool."", ""Discard all but 2 tablespoons of bacon grease in pan and return to heat."", ""Add shallots and cook, stirring, until they begin to soften, 2 to 3 minutes."", ""Add mushrooms and turn heat up slightly."", ""Cook, stirring and scraping the bottom of pan, until mushrooms begin to sweat."", ""Add salt to taste and cook until tender, about 5 minutes."", ""Remove from heat."", ""In a large bowl whisk together creme fraiche and cream."", ""Stir in Gruyere."", ""Add green beans, mushrooms and shallots, and marjoram or thyme."", ""Crumble in bacon."", ""Add salt and pepper to taste and stir everything together until beans are well coated."", ""Transfer to baking dish."", ""Melt remaining butter and toss with bread crumbs."", ""Sprinkle evenly over top of casserole."", ""Bake 30 minutes, until bread crumbs are golden brown and casserole is bubbling."", ""Remove from heat, let sit until bubbles subside, and serve.""]","[""bacon"", ""unsalted butter"", ""heavy cream"", ""mushrooms"", ""fresh marjoram"", ""shallots"", ""green beans"", ""gruyere"", ""creme fraiche"", ""bread crumbs"", ""salt""]",cooking.nytimes.com/recipes/1016946
Morning Rice,"[""Mix ingredients together. Jam could be used in place of honey, or on fruit if you like."", ""Serves 2.""]","[""apple"", ""cinnamon"", ""light soy milk"", ""raisins"", ""brown rice"", ""honey""]",www.cookbooks.com/Recipe-Details.aspx?id=1004305
Apple-Walnut Salad With Cranberry Vinaigrette,"[""Puree cranberries in processor until smooth. Add vinegar, onion, sugar and mustard and process until well blended."", ""With processor running, gradually add oil and process until well blended."", ""Transfer to medium bowl. Season to taste with salt and pepper."", ""Dressing can be made one day ahead of time and refrigerated. Bring to room temperature and whisk before using."", ""Combine greens and apples in a large bowl. Toss with enough dressing to coat and sprinkle with walnuts."", ""Serve, passing remaining dressing separately."", ""Note1: I like Granny Smiths or Jonagold apples in this, although the original recipe calls for red delicious. I sometimes dice the apples, rather than slicing."", ""Note2: I use about 2/3 grapeseed or other neutral oil and 1/3 olive oil.""]","[""sugar"", ""mustard"", ""fresh cranberries"", ""balsamic vinegar"", ""walnuts"", ""apples"", ""red onion"", ""vegetable oil""]",www.food.com/recipe/apple-walnut-salad-with-cranberry-vinaigrette-266814
Mexican Casserole,"[""Brown and drain hamburger."", ""Mix chilies, soup, hamburger, cheese and chips in casserole."", ""Bake approximately 30 minutes at 350\u00b0.""]","[""green chilies"", ""cream of chicken soup"", ""shredded cheese"", ""tortilla chips"", ""hamburger""]",www.cookbooks.com/Recipe-Details.aspx?id=445947
Two-Cheese Appetizers,"[""Knead together in bowl 1 1/2 cups Swiss cheese and next 6 ingredients."", ""Form into ball and chill 15 minutes."", ""Divide dough in 6 equal pieces."", ""Shape each piece into rope 6-inches long."", ""Put ropes parallel to each other and cut ropes in 1/2-inch pieces. Shape each piece into a ball and flatten into a circle about 1/4-inch thick."", ""Arrange on baking sheet, leaving 2 inch space between."", ""Brush with egg beaten with 1 teaspoon water."", ""Sprinkle each with a little of the remaining Swiss cheese."", ""Bake in hot oven (425\u00b0) for 10 minutes, or until puffed and lightly browned."", ""Cool on rack."", ""Sprinkle with paprika and store in airtight container. Makes about 6 dozen.""]","[""egg"", ""cayenne pepper"", ""nutmeg"", ""parmesan cheese"", ""swiss cheese"", ""all-purpose"", ""paprika"", ""butter"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=1001408
B-L-T Pizza,"[""Pre-heat oven to 400F degrees."", ""Place pizza shell on baking sheet."", ""Heat in oven 5 minutes or until slightly crisp."", ""Remove from oven and let cool slightly."", ""In a small bowl combine cream cheese, Italian seasoning and pepper."", ""Spread on pizza shell to within 1/2 inch of the edge."", ""Sprinkle with lettuce, cheese, tomato and bacon."", ""Top with sliced black olives if desired."", ""Cut pizza into 12 wedges and serve.""]","[""bacon"", ""tomatoes"", ""italian seasoning"", ""shredded lettuce"", ""cream cheese"", ""colby-monterey"", ""ground black pepper"", ""olives"", ""thin pre""]",www.food.com/recipe/b-l-t-pizza-43491
Basketball Popcorn Balls From Abc'S The View,"[""Microwave butter and marshmallows in large microwaveable bowl on HIGH for 1 + to 2 minutes or until marshmallows are puffed. (As an alternative, you can use the stove top as long as there is close supervision!)."", ""Stir in gelatin until well mixed."", ""Pour marshmallow mixture over popped popcorn and candy corns in a large bowl."", ""Mix lightly until well coated."", ""Shape into about 15 balls, or other shapes, with greased/buttered hands."", ""If not serving immediately, wrap each ball individually in plastic wrap after they have completely cooled."", ""Make lines on orange balls like a basketball, and serve on a \""fake\"" court with hoop.""]","[""corn"", ""black decorating gel"", ""marshmallows"", ""orange gelatin"", ""popcorn"", ""butter""]",www.food.com/recipe/basketball-popcorn-balls-from-abcs-the-view-206555
Swiss Tuna Bunny,"[""Mix thoroughly and spread in 8 hamburger rolls."", ""Wrap individually in aluminum foil and heat 20 minutes in preheated 350\u00b0 oven.""]","[""tuna"", ""onion"", ""swiss cheese"", ""mayonnaise""]",www.cookbooks.com/Recipe-Details.aspx?id=247787
